date,link,summary,summary_polarity,title,title_polarity
2011-03-17 21:05:14,https://www.bloomberg.com/news/articles/2011-03-17/argentine-stocks-banco-hipotecario-banco-marco-tenaris-gain," speculation that the Japanese nuclear crisis will be contained, boosting commodities and equities. Tenaris SA (TS AF), the world’s largest maker of seamless steel tubes used in the oil and gas industries... ",0.05," Argentine Stocks: Banco Hipotecario, Banco Macro, Tenaris Gain ",0.0
2011-03-28 20:44:42,https://www.bloomberg.com/news/articles/2011-03-28/argentine-stocks-bbva-banco-frances-carlos-casado-and-tenaris," Paraguay, according to a statement posted on the website of the Buenos Aires stock exchange. Tenaris SA (TS AF) increased 1.5 percent to 99.50 pesos, its highest value in more than six weeks. The... ",0.5," Argentine Stocks: BBVA Banco Frances, Carlos Casado and Tenaris ",0.0
2011-03-31 20:38:25,https://www.bloomberg.com/news/articles/2011-03-31/argentine-stocks-apsa-and-tenaris-advance-bank-shares-decline," lender, fell 1.1 percent to 5.30 pesos. Banco Macro SA (BMA AF) lost 0.6 percent to 17 pesos. Tenaris SA (TS AF) gained 1.6 percent to 104.20 pesos. The world’s largest producer of seamless steel... ",0.1, Argentine Stocks: APSA and Tenaris Advance; Bank Shares Decline ,0.0
2011-04-18 20:32:49,https://www.bloomberg.com/news/articles/2011-04-18/argentine-stocks-banco-macro-sa-edenor-and-tenaris-sa-retreat, dividend of 4.35 pesos per share and postponed a vote on the composition of its board of directors. Tenaris SA (TS AF) slumped 2.5 percent to 101.60 pesos. The world’s largest producer of seamless steel... ,0.1," Argentine Stocks: Banco Macro, Edenor, Siderar and Tenaris Fall ",0.0
2011-05-03 06:29:45,https://www.bloomberg.com/news/articles/2011-05-03/fiat-impregilo-parmalat-dada-italian-equity-preview, frames. The brokerage reiterated a “buy” rating. The shares lost 0.5 percent to 12.83 euros. Tenaris SA (TEN IM): Mediobanca Securities downgraded the world’s largest producer of seamless steel... ,0.05," Dada, Fiat, Impregilo, Parmalat, Tenaris: Italian Equity Preview ",0.0
2011-05-04 20:36:34,https://www.bloomberg.com/news/articles/2011-05-04/argentine-stocks-grupo-galicia-petrobras-and-tenaris-retreat," crude prices after the U.S. government reported a bigger-than-forecast increase in inventories. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes used in the oil industry, fell... ",-0.3," Argentine Stocks: Petrobras Argentina Falls; Telecom, YPF Gain ",0.0
2011-05-05 20:56:50,https://www.bloomberg.com/news/articles/2011-05-05/tenaris-first-quarter-net-income-rises-to-319-4-million," Tenaris SA, the world’s largest maker of seamless pipes, said first-quarter profit rose 46 percent as drilling increased. Net income gained to $319.4 million, or 54 cents per American depositary... ",0.175, Tenaris Quarterly Net Rises to $319.4 Million on Drilling ,0.0
2011-05-06 06:25:36,https://www.bloomberg.com/news/articles/2011-05-06/buzzi-intesa-telecom-italia-tenaris-italian-equity-preview," according to analysts surveyed by Bloomberg. The shares slid 0.8 percent to 99.85 euro cents. Tenaris SA (TEN IM): The world’s largest maker of seamless pipes, said first-quarter profit rose 46 percent... ",0.2333," Buzzi, Intesa, Telecom Italia, Tenaris: Italian Equity Preview ",0.0
2011-05-06 20:57:17,https://www.bloomberg.com/news/articles/2011-05-06/argentine-stocks-petrobras-argentina-tenaris-and-ypf-advance," after the company said it would abide by a court order that barred it from paying dividends. Tenaris SA (TS AF), the world’s largest maker of seamless pipes, rose 2.7 percent to 103.5 pesos, after... ",0.35, Argentine Stocks: Siderar Falls; Tenaris and YPF Advance ,0.0
2011-05-09 09:57:57,https://www.bloomberg.com/news/articles/2011-05-09/tubos-reunidos-has-received-offers-for-distribution-division," PlanThe company, whose competitors include Vallourec SA, based near Paris, and Luxembourg-based Tenaris SA, will resume dividend payments this year, with a payout ratio of 30 percent of profit, after... ",0.1, Tubos Reunidos Has Received Offers for Distribution Division ,0.1
2011-05-12 23:26:15,https://www.bloomberg.com/news/articles/2011-05-12/greater-china-daybook-bank-reserve-ratio-hong-kong-gdp-hang-seng-index," will place anti-dumping duties on imports of Chinese steel tubes following a 2009 complaint by Tenaris and Tubhier  MARKETS: * S&P 500 rises 0.5 percent to 1,348.65 * Dow Jones Industrial gains 0... ",-0.1," GREATER CHINA DAYBOOK: Bank Reserve Requirement, Hong Kong GDP ",0.5
2011-05-13 12:50:57,https://www.bloomberg.com/news/articles/2011-05-13/temasek-holdings-private-holdings-in-1st-qtr-13f-alert,"     120,000 Mead Johnson Nutrition Co    MJN US         8,990,736      155,200        5,200 Tenaris SA-ADR               TS US          7,419,000      150,000      150,000 Mindray Medical Intl... ",0.0, Temasek Holdings (Private) Holdings in 1st Qtr: 13F Alert ,0.0
2011-05-17 15:51:01,https://www.bloomberg.com/news/articles/2011-05-17/argentine-stocks-siderar-tenaris-retreat-ypf-advances," meeting, according to a statement posted today on the website of the Buenos Aires stock exchange. Tenaris SA (TS AF) lost 2.3 percent to 103.8 pesos, the steepest fall in a week. The world’s largest... ",0.0," Argentine Stocks: Siderar, Tenaris Retreat; YPF Advances ",0.0
2011-05-19 21:26:34,https://www.bloomberg.com/news/articles/2011-05-19/argentine-stocks-tenaris-sa-declines-ypf-sa-increases," the website of the Buenos Aires stock exchange. Shares have advanced 20 percent in two days. Tenaris SA (TS AF), the world’s largest maker of seamless pipes, dropped 0.2 percent to 104.40 pesos... ",0.25," Argentine Stocks: Tenaris SA Declines; Alto Palmero, YPF Rise ",0.0
2011-05-23 21:37:47,https://www.bloomberg.com/news/articles/2011-05-23/argentine-stocks-molinos-rio-de-la-plata-tenaris-ypf-decline," global demand. Markets outside of Argentina accounted for 67 percent of Molinos’s 2010 revenue. Tenaris SA (TS AR), the world’s largest maker of seamless pipes, retreated 1.4 percent to 103 pesos as... ",0.0333," Argentine Stocks: Molinos Rio de la Plata, Tenaris, YPF Decline ",0.0
2011-05-27 15:56:09,https://www.bloomberg.com/news/articles/2011-05-27/argentine-stock-movers-petrobras-argentina-siderar-tenaris," an e-mailed report today. Steel production has the third biggest increase, the report said. Tenaris SA (TS AR), the world’s largest maker of seamless pipes, climbed 0.7 percent to 105.75 pesos... ",0.05," Argentine Stock Movers: Petrobras Argentina, Siderar, Tenaris ",0.0
